,Title,Topic
0,Forbes's Silver Bullet for the Nation's Malaise,2
1,"Long, Costly Prelude Does Little To Alter Plot of Presidential Race",2
2,BUDGET FOES SEE FIGHT CONTINUING TILL THE ELECTION,2
3,THE 1996 ELECTION: THE DARK HORSE; Republican Newcomer Gets His Rivals' Attention,2
4,"Top Target in Iowa Debate: Forbes, the No. 2 Candidate",2
5,Mrs. Dole to Resume Career Even if She Is the First Lady,2
6,"In Iowa, It's Organizing vs. Advertising",2
7,G.O.P. Candidates Divide Religious Right,2
8,A Grand Old Party Animal Tries Courting Young Voters,2
9,STATE OF THE UNION: THE ASSESSMENT; Talking Like a Front-Runner,2
10,"In Dole's World, She Is the Backstage Power",2
11,"For the G.O.P., New Dynamics",2
12,"POLITICS: ADVERTISING; In Campaign Ads, Forbes Is Taking On All Comers",2
13,The Flat-Tax Debate,2
14,"Despite Deep Grass Roots in Iowa, Gramm Struggles to Catch Forbes",2
15,Forbes's Positions Found in Early Writings,2
16,POLITICS; Looking for Mr. Outside,2
17,POLITICS: THE CAUCUSES; Buchanan Wins in Louisiana In Blow to Gramm Campaign,2
18,Eat and Run,2
19,"After the First Votes, Ecstasy and Agony",2
20,POLITICS: POLITICAL MEMO; Lesson in Gramm: Money on Its Own Can't Buy Success,2
21,POLITICS: THE OVERVIEW; Fight for Religious Right's Votes Turns Bitter,2
22,On the Road in Iowa,2
23,"POLITICS: ON THE TRAIL; In Political Quest, Forbes Runs in Shadow of Father",2
24,POLITICS: CAMPAIGN STYLES; TV Politics Undermines Niche of Early Contests,2
25,POLITICS: THE OVERVIEW; Candidates Look for Last-Minute Dazzle in Iowa,2
26,City That Picks Winners Leans Toward Democrats,2
27,POLITICS: NEWS ANALYSIS; Victory Laced With Caution,2
28,POLITICS: THE OVERVIEW; Dole Tops the Field in Iowa Caucuses,2
29,POLITICS: THE NEXT STEP; DOLE OPENS DRIVE IN NEW HAMPSHIRE WITH NEW THEME,2
30,Gramm Bowing Out,2
31,POLITICS: NEWS ANALYSIS; Deficit Looks Tiny as Issue,2
32,"POLITICS: ON THE MOVE; Fueled by Success, Buchanan Revels in Rapid-Fire Oratory",2
33,Clinton Taps a Critical Base,2
34,POLITICS: THE SPOUSES <HEADLINE>Wives of the 1996 Candidates Are Also Targets of Scrutiny,2
35,POLITICS: THE DEBATE; G.O.P. RIVALS CLASH OVER ATTACK ADS,2
36,"POLITICS: PATRICK J. BUCHANAN; Some See Clinton as Voctor in G.O.P. Debate: Buchanan, Beset by Many Critics, Still Unbowed",2
37,POLITICS: THE ELECTORATE; Some See CLinton as Voctor in G.O.P. Debate: 8 Rivals Left Viewers Unimpressed,2
38,POLITICS: ALEXANDER'S IDEAS; Alexander Builds His Hopes On Some Radical Departures,2
39,POLITICS: PARTY ISSUES; MANY REPUBLICANS FEAR PARTY RIFTS MAY COST ELECTION,2
40,"POLITICS: STEADFAST CANDIDATE; For Alexander, There's a Sense Of Told You So",2
41,"POLITICS: LOOKING TO ECONOMICS; Dole, Stung in 1988, Charts Cautious Economic Course",2
42,THE HOME STRETCH,2
43,POLITICS: NEWS ANALYSIS; A Flare-Up of Passions On Trade And Jobs,2
44,POLITICS: THE OVERVIEW; CANDIDATES CLASH OVER TRADE ISSUES HEADING INTO VOTE,2
45,POLITICS: NEWS ANALYSIS; BUCHANAN A NARROW VICTOR OVER DOLE IN NEW HAMPSHIRE,2
46,POLITICS: THE OVERVIEW; BUCHANAN A NARROW VICTOR OVER DOLE IN NEW HAMPSHIRE,2
47,"POLITICS: THE VOTERS; Down to the Wire, a Clutch Of Candidates and Choices",2
48,POLITICS: ON THE MOVE; Exultant Buchanan Pushes Economic Insecurity Theme,2
49,POLITICS: THE OVERVIEW; SOME REPUBLICANS HOPING FOR A WAY TO STOP BUCHANAN,2
50,"From the Democrats, Glee but No Gloating",2
51,"POLITICS: ON THE MOVE; Buchanan Drawing Extremist Support, And Problems, Too",2
52,POLITICS: VYING FOR THE LEAD; Dole Adopts a New Persona: Savior of the Grand Old Party,2
53,Alexander on the Poor,2
54,Message Under the Message?,2
55,FORBES BEATS DOLE IN DELAWARE VOTE,2
56,POLITICS: THE PRIMARY SPRINT; COMING PRIMARIES ARE UP FOR GRABS AFTER MIXED VOTE,2
57,A Broadened Attack,2
58,"POLITICS: BOB DOLE; With Dole Campaign Off Track, He Puts 2 Advisers Off the Team",2
59,"POLITICS: THE POLL; SOCIAL ISSUES GIVE BUCHANAN BOOST, A NEW POLL FINDS",2
60,POLITICS: AIR TIME; Fox Offer: The Fur Flies,2
61,POLITICS: THE OVERVIEW; Forbes Claims Victory in Arizona Race,2
62,One Governor's Sway,2
63,Arizona Voting Puts Forbes Back in Race,2
64,POLITICS: NEW YORK STATE; NEW YORK PRIMARY SUDDENLY EMERGES AS A CRUCIAL TEST,2
65,POLITICS: THE ISSUES; South Carolina Is a Crossroads For the G.O.P.,2
66,"POLITICS: NEW YORK; Buchanan's New York Drive: Low in Money, High in Zeal",2
67,POLITICS: THE ISSUE; Abortion Issue Resurfaces in G.O.P. Debate,2
68,POLITICS: THE ADVOCATES; Rivals United In Cultivating Religious Right,2
69,POLITICS: THE WEEKS AHEAD; Race in Fast-Forward,2
70,POLITICS: CHANGING DIRECTION; DOLE EASILY BEATS BUCHANAN TO WIN IN SOUTH CAROLINA,2
71,POLITICS: STEVE FORBES; Forbes Battles State Party Regulars in New York,2
72,POLITICS: THE OVERVIEW; GINGRICH PRESSING DOLE'S OPPONENTS TO QUIT THE RACE,2
73,"POLITICS: THE TRAIL; Buchanan Is Slugging Away, Seeking a Georgia Comeback",2
74,"POLITICS: NEW YORK; On New York's Primary Ballot, It's Who You Know That Counts",2
75,"POLITICS: THE OVERVIEW; DOLE, SWEEPING 8 PRIMARIES, CALLS FOR PARTY TO UNITE; ALEXANDER READY TO QUIT",2
76,POLITICS: THE OUTLOOK; Finding the Formula,2
77,"POLITICS: NEW YORK; At Last, New York Has Piece of Action In Republican Race",2
78,"Today, It's New York's Turn",2
79,POLITICS; Dole's Troubled Horizon,2
80,Still Loud and Unbowed,2
81,"POLITICS: NEW YORK; DOLE IS VICTOR IN NEW YORK, CONTINUING PRIMARY SURGE; RIVALS VOW TO STAY IN RACE",2
82,POLITICS: THE MONEY; Dole's Aides Are Counting Ways To Keep Campaign Cash Flowing,2
83,POLITICS: A FAULT LINE; Anti-Abortion Passion in G.O.P. Threatens to Pull Dole Off-Center,2
84,"POLITICS: PATRICK J. BUCHANAN; Buchanan Keeps Campaigning, For the Issues, and the Fun of It",2
85,"POLITICS: THE PROBABLE OPPONENTS; In Many Ways, Probable Foes Are Peas in Pod",2
86,"POLITICS: THE FRONT-RUNNER; With Nomination in Reach, Dole Plays a Cautious Game",2
87,G.O.P. Tries for Unity,2
88,"POLITICS: THE FRONT-RUNNER; Dole, Dominant in Primaries, Faces New Battles in Capitol",2
89,POLITICS: THE OVERVIEW; DOLE CAPTURES ALL 7 STATES IN BIGGEST DAY OF PRIMARIES; GRIP ON NOMINATION IS SOLID,2
90,POLITICS: DEPARTURE; FORBES PLANNING ON DROPPING OUT OF THE CAMPAIGN,2
91,Dole Courts Democrats,2
