,Title,Topic
0,forbess silver bullet for the nations malaise,2
1,long costly prelude does little to alter plot of presidential race,2
2,budget foes see fight continuing till the election,2
3,the 1996 election the dark horse republican newcomer gets his rivals attention,2
4,top target in iowa debate forbes the no 2 candidate,2
5,mrs dole to resume career even if she is the first lady,2
6,in iowa its organizing vs advertising,2
7,gop candidates divide religious right,2
8,a grand old party animal tries courting young voters,2
9,state of the union the assessment talking like a frontrunner,2
10,in doles world she is the backstage power,2
11,for the gop new dynamics,2
12,politics advertising in campaign ads forbes is taking on all comers,2
13,the flattax debate,2
14,despite deep grass roots in iowa gramm struggles to catch forbes,2
15,forbess positions found in early writings,2
16,politics looking for mr outside,2
17,politics the caucuses buchanan wins in louisiana in blow to gramm campaign,2
18,eat and run,2
19,after the first votes ecstasy and agony,2
20,politics political memo lesson in gramm money on its own cant buy success,2
21,politics the overview fight for religious rights votes turns bitter,2
22,on the road in iowa,2
23,politics on the trail in political quest forbes runs in shadow of father,2
24,politics campaign styles tv politics undermines niche of early contests,2
25,politics the overview candidates look for lastminute dazzle in iowa,2
26,city that picks winners leans toward democrats,2
27,politics news analysis victory laced with caution,2
28,politics the overview dole tops the field in iowa caucuses,2
29,politics the next step dole opens drive in new hampshire with new theme,2
30,gramm bowing out,2
31,politics news analysis deficit looks tiny as issue,2
32,politics on the move fueled by success buchanan revels in rapidfire oratory,2
33,clinton taps a critical base,2
34,politics the spouses headlinewives of the 1996 candidates are also targets of scrutiny,2
35,politics the debate gop rivals clash over attack ads,2
36,politics patrick j buchanan some see clinton as voctor in gop debate buchanan beset by many critics still unbowed,2
37,politics the electorate some see clinton as voctor in gop debate 8 rivals left viewers unimpressed,2
38,politics alexanders ideas alexander builds his hopes on some radical departures,2
39,politics party issues many republicans fear party rifts may cost election,2
40,politics steadfast candidate for alexander theres a sense of told you so,2
41,politics looking to economics dole stung in 1988 charts cautious economic course,2
42,the home stretch,2
43,politics news analysis a flareup of passions on trade and jobs,2
44,politics the overview candidates clash over trade issues heading into vote,2
45,politics news analysis buchanan a narrow victor over dole in new hampshire,2
46,politics the overview buchanan a narrow victor over dole in new hampshire,2
47,politics the voters down to the wire a clutch of candidates and choices,2
48,politics on the move exultant buchanan pushes economic insecurity theme,2
49,politics the overview some republicans hoping for a way to stop buchanan,2
50,from the democrats glee but no gloating,2
51,politics on the move buchanan drawing extremist support and problems too,2
52,politics vying for the lead dole adopts a new persona savior of the grand old party,2
53,alexander on the poor,2
54,message under the message,2
55,forbes beats dole in delaware vote,2
56,politics the primary sprint coming primaries are up for grabs after mixed vote,2
57,a broadened attack,2
58,politics bob dole with dole campaign off track he puts 2 advisers off the team,2
59,politics the poll social issues give buchanan boost a new poll finds,2
60,politics air time fox offer the fur flies,2
61,politics the overview forbes claims victory in arizona race,2
62,one governors sway,2
63,arizona voting puts forbes back in race,2
64,politics new york state new york primary suddenly emerges as a crucial test,2
65,politics the issues south carolina is a crossroads for the gop,2
66,politics new york buchanans new york drive low in money high in zeal,2
67,politics the issue abortion issue resurfaces in gop debate,2
68,politics the advocates rivals united in cultivating religious right,2
69,politics the weeks ahead race in fastforward,2
70,politics changing direction dole easily beats buchanan to win in south carolina,2
71,politics steve forbes forbes battles state party regulars in new york,2
72,politics the overview gingrich pressing doles opponents to quit the race,2
73,politics the trail buchanan is slugging away seeking a georgia comeback,2
74,politics new york on new yorks primary ballot its who you know that counts,2
75,politics the overview dole sweeping 8 primaries calls for party to unite alexander ready to quit,2
76,politics the outlook finding the formula,2
77,politics new york at last new york has piece of action in republican race,2
78,today its new yorks turn,2
79,politics doles troubled horizon,2
80,still loud and unbowed,2
81,politics new york dole is victor in new york continuing primary surge rivals vow to stay in race,2
82,politics the money doles aides are counting ways to keep campaign cash flowing,2
83,politics a fault line antiabortion passion in gop threatens to pull dole offcenter,2
84,politics patrick j buchanan buchanan keeps campaigning for the issues and the fun of it,2
85,politics the probable opponents in many ways probable foes are peas in pod,2
86,politics the frontrunner with nomination in reach dole plays a cautious game,2
87,gop tries for unity,2
88,politics the frontrunner dole dominant in primaries faces new battles in capitol,2
89,politics the overview dole captures all 7 states in biggest day of primaries grip on nomination is solid,2
90,politics departure forbes planning on dropping out of the campaign,2
91,dole courts democrats,2
92,politics on capitol hill dole is cashing in a chit for supporting gingrich,2
93,politics supporters with a stake four midwestern governors angle for an offer from dole,2
94,politics the primaries dole continues to roll toward gop nomination,2
95,politics the strategy gingrich and dole aides try new unified party message,2
96,politics bob dole dole vows victory to town that has never failed him,2
97,dole blocks vote on raising minimum wage,2
98,politics the overview california voting leaves dole claiming gop nomination,2
99,politics perots party perot back on the stump again still dances around the question,2
100,new poll finds strength for dole on personal and political traits,2
101,war wounds shape life and politics for dole,2
102,dole and ethanol industry count on each other,2
103,dole meets a setback,2
104,rift over health bill,2
105,senate defeats dole revision to health bill,2
106,dole citing crisis in the courts attacks appointments by clinton,2
107,murmur of gores ambition becomes louder,2
108,clintondole fight on health bill is preview of campaign to come,2
109,the budget truce news analysis ammunition for the fall,2
110,more in gop say doles senate role hinders campaign,2
111,californias governor joins gop abortionplank foes,2
112,democrats outflank gop in first campaign skirmishes,2
113,politics of gasoline,2
114,president vetoes limits on liability,2
115,economy revived at pace of 28 in first quarter,2
116,damato says gingrich threatens doles presidential hopes,2
117,christian leader would back shift on abortion issue,2
118,its my party too,2
119,leader of christian coalition denies shifting on abortion,2
120,abortionrights supporters fight for their say in gop,2
121,cbs plans to offer time to candidates in presidential race,2
122,behind the cloak of office clintons war room hums,2
123,dole says he has plan to win votes of women,2
124,more time for candidates,2
125,abc joins others tv time,2
126,clinton and dole clash on delay of wage and gastax measures,2
127,dole attacks clinton asia policy although he supports part of it,2
128,the commencement campaign,2
129,perot group falls far short of original political vision,2
130,gop to press missile defense as clinton test,2
131,clinton thriving in gentle glow of tv lights,2
132,dole will reduce duties in senate his aides predict,2
133,politics the overview dole says he will leave senate to focus on presidential race,2
134,politics news analysis inside ties that bind,2
135,politics news analysis going outside bold maybe perilous,2
136,doles new image,2
137,politics the decision how doles decision to resign was kept a secret,2
138,a political life the kansas years on the kansas prairie the window to dole,2
139,clinton endorses the most radical of welfare trials,2
140,what kind of democrat is clinton,2
141,phony polls that sling mud raise questions over ethics,2
142,politics finances in dole campaign the partys money serves as a lifeline,2
143,dole discusses taxes after meeting forbes,2
144,vote canceled on doles bill for a costly missile defense,2
145,politics the challenger heatedly dole and clinton escalate a split on abortion,2
146,a new kansas senator,2
147,an american place unions gear up for political fight,2
148,politics the character issue new ads to inject issue of integrity into the campaign,2
149,updated drive to cut taxes regains currency in gop,2
150,countys new stance,2
151,candidates respond rapidly picking gotcha over debate,2
152,2 holiday messages,2
153,revisiting the issue of crime dole offers list of remedies,2
154,whitewaters future,2
155,blood bank politics  a special report elizabeth dole and red cross 2 powers at work,2
156,politics the manager dole campaign chief relying on determination and luck,2
157,touching another base,2
158,politics the voters poll indicates stable ratings for president,2
159,politics the president clinton proposes us tax credits for college aid,2
160,new tool in political combat computers to track tv ads,2
161,politics the republican dole seeks words to broaden plank on abortion issue,2
162,politics the capitol congress is moving on political issues not on legislation,2
163,politics a third party exgovernor of colorado hints at perot party bid,2
164,politics news analysis gop peace candidate,2
165,stopping short of no,2
